id,title,year,year_end,lat,lon,origin_location,region_group,time_context,mechanism_type,purpose,scale,sensory_mode,accuracy_level,portability,caption,image,thumb,__key
dev_2011,Chinese Fire Clock,500,,35.8617,104.1954,China,East Asia,Household & ritual,fire_clock,domestic,domestic,visual;auditory,very_low,fixed,"A fire clock burns incense or thread to measure time. When the flame reaches a string, a tiny weight drops with a ping to mark an hour. Homes and temples used them for prayers, daily tasks, and medicine schedules. It’s a timer you can smell and hear, not just see.",images/dev_2011_image.png,images/dev_2011_thumb.png,horloge à feu chinoise
dev_2030,Candle Clock (simple),520,,35.8617,104.1954,China,East Asia,Household & ritual,candle_clock,domestic;ritual_religious,domestic,visual;auditory,very_low,movable,"A candle clock is a candle with time marks, sometimes with clever add‑ons. As it burns down, each mark shows time passing, and pins can drop to make a sound. Monks, scholars, and families used them for prayers and nighttime chores. It’s a quiet, dependable way to tell time after dark.",images/dev_2030_image.png,images/dev_2030_thumb.png,horloge à bougie (simple)
dev_2017,Charlemagne’s Clock,807,,50.7753,6.0839,"Aachen, Carolingian Empire",Europe,Public & civic,water_clepsydra,prestige_power;entertainment_automata,monumental,visual;auditory,low,fixed,Charlemagne received a spectacular water‑powered clock as a royal gift. Metal balls fell and figures appeared to mark each hour—more wonder than wristwatch. It showed the skill of craftsmen from the Islamic world and impressed the emperor’s court. This was timekeeping used to display power and friendship between rulers.,images/dev_2017_image.png,images/dev_2017_thumb.png,l'horloge de charlemagne
dev_0013,Japanese Incense Clock,900,,35.0116,135.7681,"Kyoto, Japan",East Asia,Household & ritual,incense_clock,ritual_religious;personal_time,domestic,olfactory;visual,low,portable,"Japanese incense clocks used lines of scented powder that burned at a steady speed. People watched the glowing track or smelled changes to know the time during rituals. Monks and noble families favored them for quiet, night‑time timing. They turned fragrance into a soft, reliable clock.",images/dev_0013_image.png,images/dev_0013_thumb.png,japanese incense clock
dev_2012,Oil Clock,1000,,40.41678,-3.70379,"Madrid, Spain",Middle East,Household & ritual,oil,domestic,domestic,visual,very_low,fixed,"An oil clock is a lamp with a clear reservoir marked like a ruler. As the oil level drops while it burns, the marks show how much time has passed. Households and monasteries used them where sunlight or bells were not enough. It’s an easy, low‑tech way to keep time indoors.",images/dev_2012_image.png,images/dev_2012_thumb.png,horloge à huile
dev_0012,Su Song’s Astronomical Clock Tower,1092,,34.797,114.307,"Kaifeng, China",East Asia,Scientific & observatory,water_escapement,science_astronomy;prestige_power,civic,visual;auditory,medium,fixed,Su Song’s tower in China was a huge water‑powered clock with moving models of the heavens. It used an early escapement to keep steady time and showed both civil hours and sky motions. Court astronomers kept it running to guide the empire’s calendar. It was like a building‑sized planetarium that also told time.,images/dev_0012_image.png,images/dev_0012_thumb.png,su song's astronomical clock tower
dev_2008,Clock of Gaza (Ridwan),1200,,31.506,34.452,"Gaza, Levant",Middle East,Public & civic,water_clepsydra,civic_admin;entertainment_automata,civic,visual;auditory,low,fixed,"The Gaza public clock was a big showpiece that marked hours for the town. Doors opened, lights glowed, and balls dropped with sounds to count day and night. It helped citizens follow prayer times and daily routines. It was part timekeeper, part theater—time you could watch and hear.",images/dev_2008_image.png,images/dev_2008_thumb.png,horloge de gaza (ridwan)
dev_2031,Al-Jazari’s Candle Clock,1206,,35.8617,104.1954,China,East Asia,Household & ritual,fire_clock,domestic;entertainment_automata,domestic,visual;auditory,very_low,movable,"A candle clock is a candle with time marks, sometimes with clever add‑ons. As it burns down, each mark shows time passing, and pins can drop to make a sound. Monks, scholars, and families used them for prayers and nighttime chores. It’s a quiet, dependable way to tell time after dark.",images/dev_2031_image.png,images/dev_2031_thumb.png,horloge à bougie d'al-jazari
dev_2009,Mechanical Tower Clock with Foliot,1300,,51.06517,-1.79805,"Salisbury Cathedral, England",Europe,Public & civic,weight_foliot,civic_admin,civic,visual;auditory,low,fixed,"Early tower clocks used a seesaw bar called a foliot to tick in steps. They had no hands—just bells to ring the hours for towns and churches. People heard time instead of seeing it on a dial. These machines made time public, even if they weren’t very precise.",images/dev_2009_image.png,images/dev_2009_thumb.png,horloge mécanique à foliot (tour)
dev_2029,Hourglass,1300,,43.31833,11.33139,"Palazzo Pubblico (Siena), Italy",Europe,Household & ritual,sand_hourglass,navigation;domestic,personal,visual,low,portable,"An hourglass has two glass bulbs with sand flowing through a tiny opening. When the top empties, a set amount of time has passed. Sailors, cooks, and teachers used them to measure turns, chores, or lessons. They’re sturdy, portable, and don’t mind waves or weather.",images/dev_2029_image.png,images/dev_2029_thumb.png,sablier
dev_2018,Public Clock of Fez,1357,,34.0331,-5.0003,"Fez, Morocco",North Africa,Public & civic,astronomical_gear,civic_admin;science_astronomy,civic,visual;auditory,low,fixed,"Fez had a famous public clock at the Bou Inania madrasa. Balls fell into bowls and doors opened to show the passing hours, with lights for night time. It guided prayers, trade, and city life for everyone nearby. It joined sound, movement, and light to make time easy to follow.",images/dev_2018_image.png,images/dev_2018_thumb.png,l'horloge publique de fès
dev_2001,Astrarium of Giovanni Dondi,1364,,45.4064,11.8768,"Padua, Italy",Europe,Scientific & observatory,astronomical_gear,science_astronomy;prestige_power,domestic,visual,low,movable,"Dondi’s Astrarium is a mechanical model of the sky. Wheels and dials show the paths of planets, the Sun, and the Moon along with the time. Scholars used it to study the heavens and teach astronomy. It’s like a handmade planetarium that also keeps time.",images/dev_2001_image.png,images/dev_2001_thumb.png,astrarium de giovanni dondi
dev_0010,Prague Astronomical Clock (Orloj),1410,,50.087,14.42,"Prague, Czechia",Europe,Public & civic,weight_foliot,civic_admin;entertainment_automata;science_astronomy,civic,visual;auditory,medium,fixed,"Prague’s Astronomical Clock is a city‑center time show. It shows the hour, the Sun and Moon’s paths, and a calendar, with little figures that move every hour. Citizens and travelers gather to watch and check the time. It mixes science, art, and theater on a tower wall.",images/dev_0010_image.png,images/dev_0010_thumb.png,prague astronomical clock (orloj)
dev_2025,Portable Sundials,1500,,49.45387,11.0773,"Nuremberg, Germany",Europe,Personal & wearable,sundial,personal_time,personal,visual,low,portable,Portable sundials were pocket tools for telling time outdoors. You pointed them north with a tiny compass and read the shadow on a small dial. Travelers and villagers used them when church bells or town clocks were far away. They made personal timekeeping cheaper and easier before watches were common.,images/dev_2025_image.png,images/dev_2025_thumb.png,cadrans solaires portables
dev_2016,Jost Bürgi’s Rotating Sphere,1600,,51.3127,9.4797,"Kassel/Prague, Holy Roman Empire",Europe,Scientific & observatory,planetary_sphere,science_astronomy;prestige_power,domestic,visual,medium,movable,"Jost Bürgi built precision clocks and a spinning celestial sphere for princes and scientists. His improved mechanisms could even show seconds, which was rare then. Astronomers used this accuracy for star work and calendars. He helped turn clockmaking into true scientific instruments.",images/dev_2016_image.png,images/dev_2016_thumb.png,la sphère tournante de jost bürgi
dev_2007,Galileo’s Clock,1641,,41.8719,12.5674,Italy,Europe,Scientific & observatory,pendulum,science_astronomy,domestic,visual,medium,movable,"Near the end of his life, Galileo drew plans to improve clock mechanisms. His ideas inspired later designs that led to the anchor escapement. The goal was a smoother, steadier tick for better science and navigation. Even unfinished, his vision pushed clockmaking forward.",images/dev_2007_image.png,images/dev_2007_thumb.png,horloge de galilée
dev_2014,Huygens’ Pendulum Clocks,1656,,52.0705,4.3007,Netherlands,Europe,Public & civic,pendulum,science_astronomy;civic_admin,civic,visual;auditory,high,movable,"Huygens added the swinging pendulum to clocks to make them much more accurate. A steady swing controls the gears so each tick is the same length. Scientists and cities could now trust minutes, not just rough hours. This leap powered better astronomy, mapping, and daily schedules.",images/dev_2014_image.png,images/dev_2014_thumb.png,horloges de huygens (pendule)
dev_0034b,Anchor Escapement Era,1670,,51.5,-0.12,England,Europe,Household & ritual,pendulum,civic_admin;domestic,domestic,visual;auditory,high,movable,"The anchor escapement made clocks tick more smoothly with a swinging pendulum. It wastes less energy than older verge mechanisms, so clocks ran longer and kept better time. This helped create reliable wall and longcase clocks for homes and towns. Better ticks meant life could be planned to the minute.",images/dev_0034b_image.png,images/dev_0034b_thumb.png,anchor escapement era
dev_2020,Cylinder Escapement,1695,,46.8182,8.2275,England/France/Switzerland (use in pocket watches),Europe,Scientific & observatory,unknown,science_astronomy,civic,visual,low,fixed,"The cylinder escapement is a compact, quiet way to make a watch tick. A thin cylinder lets the escape wheel teeth pass gently, controlling the balance. It helped slim down pocket watches in the 1700s and 1800s. It wasn’t perfect, but it made watches smaller and smoother.",images/dev_2020_image.png,images/dev_2020_thumb.png,l'échappement à cylindre
dev_0014,Marine Chronometer (H4),1761,,51.5072,-0.1276,"London, England",Europe,Navigation & maritime,spring_balance,navigation,personal,visual;tactile,high,portable,"Harrison’s H4 was a super‑accurate sea watch that helped sailors find longitude. By carrying the exact time from home port, crews could compare it to local noon and know where they were. Its steady balance and temperature tricks kept it precise on rough voyages. It turned ocean navigation from guesswork into math.",images/dev_0014_image.png,images/dev_0014_thumb.png,marine chronometer (h4)
dev_2028,John Harrison’s H4 Marine Chronometer,1761,,52.3555,-1.1743,"England, UK",Europe,Navigation & maritime,spring_balance,navigation,personal,visual,high,portable,"Harrison’s H4 was a super‑accurate sea watch that helped sailors find longitude. By carrying the exact time from home port, crews could compare it to local noon and know where they were. Its steady balance and temperature tricks kept it precise on rough voyages. It turned ocean navigation from guesswork into math.",images/dev_2028_image.png,images/dev_2028_thumb.png,le chronomètre h-4 de john harrison
dev_0031,Tourbillon (Breguet),1801,,48.8566,2.3522,"Paris, France",Europe,Personal & wearable,tourbillon,science_astronomy;personal_time,personal,visual;tactile,high,portable,"Breguet’s tourbillon is a tiny spinning cage for a watch’s balance wheel. By slowly turning, it evens out gravity’s pull in different positions. Elite watchmakers used it to squeeze more accuracy from pocket watches. It’s a clever fix for a very small but important problem.",images/dev_0031_image.png,images/dev_0031_thumb.png,tourbillon (breguet)
dev_2019,Swiss Lever Escapement,1850,,46.8182,8.2275,Switzerland,Europe,Scientific & observatory,unknown,science_astronomy,civic,visual,low,fixed,"The Swiss lever escapement is the heart of most modern mechanical watches. A fork and balance wheel lock and unlock the gear teeth with each swing. It’s robust, accurate, and easy to service, so watchmakers everywhere adopted it. If your watch ticks, this is likely the reason why.",images/dev_2019_image.png,images/dev_2019_thumb.png,l'échappement suisse
dev_2021,Man-nen Jimeisho (Variable Hours),1851,,35.01167,135.76833,"Kyoto, Japan",East Asia,Personal & wearable,weight_foliot,personal_time,domestic,visual,medium,movable,"The Man‑nen Jimeisho is a Japanese clock for “unequal hours,” where day and night were split into six parts that change with the seasons. It used clever gearing to speed up or slow down the hands through the year. Homes and scholars used it to match traditional timekeeping. It shows how clocks can follow culture, not just the Sun.",images/dev_2021_image.png,images/dev_2021_thumb.png,man-nen jimeisho (heures variables)
dev_0039,Early Wristwatch (Trench Watch),1914,,50.0,8.0,Europe,Europe,Personal & wearable,spring_balance,personal_time;labor_industry,personal,visual;tactile,high,wearable,Early wristwatches started as practical tools for soldiers in World War I. Straps were added to pocket watches so hands were free and time was easy to check. Soon everyone wanted them for everyday life. They turned personal timekeeping into a quick glance at the wrist.,images/dev_0039_image.png,images/dev_0039_thumb.png,early wristwatch (trench watch)
dev_2013,Quartz Clock,1927,,39.8283,-98.5795,USA,North America,Industrial & lab,quartz_oscillator,science_astronomy;civic_admin,civic,visual,high,fixed,"A quartz clock uses a crystal that vibrates very fast when electricity runs through it. Counting those tiny vibrations gives an even, steady tick. Labs and industry used early quartz clocks as new standards of time. They were far more accurate than old mechanical clocks.",images/dev_2013_image.png,images/dev_2013_thumb.png,horloge à quartz
dev_2006,Atomic Clock,1949,,52.3555,-1.1743,UK (NPL),Europe,Networked infrastructure,atomic,scientific_standard,civic,visual,ultra,fixed,"An atomic clock keeps time using the natural “heartbeat” of atoms. Microwaves tune to an atom’s exact frequency, and electronics lock to that signal. Scientists use atomic clocks to define seconds and run world time (UTC). They’re the backbone for GPS, the internet, and power grids.",images/dev_2006_image.png,images/dev_2006_thumb.png,horloge atomique
dev_0035,Cesium Atomic Clock (NBS/NIST),1954,,40.015,-105.271,"Boulder, USA",North America,Networked infrastructure,atomic,science_astronomy;civic_admin,civic,visual,ultra,fixed,"A cesium atomic clock listens to the special frequency of cesium atoms. When the signal is just right, the atoms flip in a predictable way, and the clock locks on. National labs used them to set the official second and keep global time. They make GPS and telecom networks stay in step.",images/dev_0035_image.png,images/dev_0035_thumb.png,cesium atomic clock (nbs/nist)
dev_2002,Bulova Accutron (tuning-fork watch),1960,,39.8283,-98.5795,USA,North America,Personal & wearable,tuning_fork,personal_time;labor_industry,personal,visual,high,wearable,The Bulova Accutron uses a tiny vibrating tuning fork instead of a ticking balance. An electronic circuit keeps the fork humming at a steady pitch to drive the hands. People loved its smooth sweep and high accuracy in the 1960s. It was a big step toward modern electronic watches.,images/dev_2002_image.png,images/dev_2002_thumb.png,bulova accutron (montre à diapason)
dev_0034,Quartz Wristwatch (Seiko Astron),1969,,35.6762,139.6503,"Tokyo, Japan",East Asia,Personal & wearable,quartz_oscillator,personal_time;labor_industry,personal,visual;tactile,ultra,wearable,The Seiko Astron was the first quartz wristwatch sold to the public. Its crystal kept time so well that it beat most mechanical watches easily. Everyday people could now wear super‑accurate time on their wrists. It started the quartz revolution in watches.,images/dev_0034_image.png,images/dev_0034_thumb.png,quartz wristwatch (seiko astron)
dev_0042,Modern Smartwatch,2013,,37.3349,-122.009,"Cupertino, USA",North America,Personal & wearable,digital,personal_time;labor_industry,personal,visual;tactile,ultra,wearable,"A smartwatch is a tiny computer on your wrist. It tells time, tracks your steps and heart rate, and talks to your phone. Kids and adults use it for messages, fitness, and alarms. It gets its time from the internet, so it stays perfectly in sync.",images/dev_0042_image.png,images/dev_0042_thumb.png,modern smartwatch
